Locus	Allele	Length	Contig	Start position	End position	Flags
LEPT00595	54	627	NZ_CP043876.1	3702125	3702751	
LEPT00602	59	1257	NZ_CP043876.1	3697164	3698420	
LEPT00605	36	531	NZ_CP043876.1	3694948	3695478	
LEPT00606	35	600	NZ_CP043876.1	3694331	3694930	
LEPT00607	1	801	NZ_CP043876.1	3693472	3694272	
LEPT00610	43	750	NZ_CP043876.1	3692040	3692789	
LEPT00611	74	1230	NZ_CP043876.1	3690809	3692038	
LEPT00612	64	1203	NZ_CP043876.1	3689588	3690790	
LEPT00615	46	333	NZ_CP043876.1	3687539	3687871	
LEPT00616	63	1068	NZ_CP043876.1	3686443	3687510	
LEPT00618	68	975	NZ_CP043876.1	3684788	3685762	
LEPT00625	73	1875	NZ_CP043876.1	3677384	3679258	
LEPT00627	78	1464	NZ_CP043876.1	3674603	3676066	
LEPT00629	1	282	NZ_CP043876.1	3673338	3673619	
LEPT00630	64	1161	NZ_CP043876.1	3672171	3673331	
LEPT00631	62	891	NZ_CP043876.1	3671288	3672178	
LEPT00632	13	462	NZ_CP043876.1	3670747	3671208	
LEPT00633	53	894	NZ_CP043876.1	3669851	3670744	
LEPT00635	71	1584	NZ_CP043876.1	3667513	3669096	
LEPT00638	15	873	NZ_CP043876.1	3663314	3664186	
LEPT00639	16	393	NZ_CP043876.1	3662736	3663128	
LEPT00643	46	762	NZ_CP043876.1	3659599	3660360	
LEPT00646	1	1155	NZ_CP043876.1	3656311	3657465	
LEPT00647	36	462	NZ_CP043876.1	3655845	3656306	
LEPT00648	41	669	NZ_CP043876.1	3655131	3655799	
LEPT00649	72	2001	NZ_CP043876.1	3653124	3655124	
LEPT00650	52	594	NZ_CP043876.1	3652513	3653106	
LEPT00653	13	333	NZ_CP043876.1	3650977	3651309	
LEPT00654	2	699	NZ_CP043876.1	3650156	3650854	
LEPT00655	2	726	NZ_CP043876.1	3649421	3650146	
LEPT00656	55	993	NZ_CP043876.1	3648423	3649415	
LEPT00657	1	288	NZ_CP043876.1	3648126	3648413	
LEPT00662	52	735	NZ_CP043876.1	3645282	3646016	
LEPT00665	16	966	NZ_CP043876.1	3640683	3641648	
LEPT00671	73	1281	NZ_CP043876.1	3635857	3637137	
LEPT00674	58	1545	NZ_CP043876.1	3631401	3632945	
LEPT00675	14	1035	NZ_CP043876.1	3630317	3631351	
LEPT00693	57	1218	NZ_CP043876.1	3611588	3612805	
LEPT00694	13	1806	NZ_CP043876.1	3609602	3611407	
LEPT00726	87	2448	NZ_CP043876.1	3544649	3547096	
LEPT00727	84	3321	NZ_CP043876.1	3541202	3544522	
LEPT00734	4	552	NZ_CP043876.1	3536238	3536789	
LEPT00735	45	1227	NZ_CP043876.1	3535007	3536233	
LEPT00736	81	1866	NZ_CP043876.1	3532483	3534348	
LEPT00737	61	1206	NZ_CP043876.1	3531227	3532432	
LEPT00738	5	309	NZ_CP043876.1	3530904	3531212	
LEPT00739	13	621	NZ_CP043876.1	3530272	3530892	
LEPT00740	13	636	NZ_CP043876.1	3529619	3530254	
LEPT00741	1	315	NZ_CP043876.1	3529308	3529622	
LEPT00742	1	840	NZ_CP043876.1	3528465	3529304	
LEPT00744	1	333	NZ_CP043876.1	3527843	3528175	
LEPT00745	54	678	NZ_CP043876.1	3527153	3527830	
LEPT00746	14	414	NZ_CP043876.1	3526717	3527130	
LEPT00747	25	285	NZ_CP043876.1	3526436	3526720	
LEPT00749	1	393	NZ_CP043876.1	3525763	3526155	
LEPT00750	1	360	NZ_CP043876.1	3525404	3525763	
LEPT00751	35	549	NZ_CP043876.1	3524852	3525400	
LEPT00752	1	186	NZ_CP043876.1	3524647	3524832	
LEPT00753	14	402	NZ_CP043876.1	3524226	3524627	
LEPT00754	5	540	NZ_CP043876.1	3523660	3524199	
LEPT00755	25	369	NZ_CP043876.1	3523288	3523656	
LEPT00756	1	507	NZ_CP043876.1	3522780	3523286	
LEPT00757	1	180	NZ_CP043876.1	3522588	3522767	
LEPT00758	42	543	NZ_CP043876.1	3522030	3522572	
LEPT00759	46	1383	NZ_CP043876.1	3520633	3522015	
LEPT00760	13	564	NZ_CP043876.1	3520062	3520625	
LEPT00761	1	219	NZ_CP043876.1	3519841	3520059	
LEPT00762	1	378	NZ_CP043876.1	3519338	3519715	
LEPT00763	13	411	NZ_CP043876.1	3518925	3519335	
LEPT00764	13	624	NZ_CP043876.1	3518290	3518913	
LEPT00765	52	978	NZ_CP043876.1	3517290	3518267	
LEPT00766	2	516	NZ_CP043876.1	3516773	3517288	
LEPT00773	12	1092	NZ_CP043876.1	3510455	3511546	
LEPT00776	19	1227	NZ_CP043876.1	3503909	3505135	
LEPT00777	13	366	NZ_CP043876.1	3503560	3503925	
LEPT00778	58	963	NZ_CP043876.1	3502592	3503554	
LEPT00785	60	1044	NZ_CP043876.1	3497866	3498909	
LEPT00787	51	825	NZ_CP043876.1	3495711	3496535	
LEPT00788	78	948	NZ_CP043876.1	3494767	3495714	
LEPT00790	5	1290	NZ_CP043876.1	3491842	3493131	
LEPT00791	86	2250	NZ_CP043876.1	3489481	3491730	
LEPT00792	77	1314	NZ_CP043876.1	3488110	3489423	
LEPT00798	4	768	NZ_CP043876.1	3484058	3484825	
LEPT00799	14	441	NZ_CP043876.1	3483498	3483938	
LEPT00802	12	501	NZ_CP043876.1	3481376	3481876	
LEPT00808	1	624	NZ_CP043876.1	3477633	3478256	
LEPT00809	75	1167	NZ_CP043876.1	3476245	3477411	
LEPT00810	60	1026	NZ_CP043876.1	3475219	3476244	
LEPT00811	72	918	NZ_CP043876.1	3474327	3475244	
LEPT00815	66	1836	NZ_CP043876.1	3471264	3473099	
LEPT00818	18	1008	NZ_CP043876.1	3468450	3469457	
LEPT00819	1	201	NZ_CP043876.1	3468154	3468354	
LEPT00821	56	567	NZ_CP043876.1	3467019	3467585	
LEPT00824	36	396	NZ_CP043876.1	3464874	3465269	
LEPT00825	24	615	NZ_CP043876.1	3463127	3463741	
LEPT00827	49	861	NZ_CP043876.1	3462008	3462868	
LEPT00828	70	1326	NZ_CP043876.1	3460646	3461971	
LEPT00833	13	774	NZ_CP043876.1	3457401	3458174	
LEPT00839	13	333	NZ_CP043876.1	3451190	3451522	
LEPT00841	60	1062	NZ_CP043876.1	3447926	3448987	
LEPT00842	1	285	NZ_CP043876.1	3447611	3447895	
LEPT00843	72	1737	NZ_CP043876.1	3445860	3447596	
LEPT00845	52	897	NZ_CP043876.1	3443934	3444830	
LEPT00846	3	915	NZ_CP043876.1	3443023	3443937	
LEPT00848	1	315	NZ_CP043876.1	3440842	3441156	
LEPT00850	1	327	NZ_CP043876.1	3440519	3440845	
LEPT00851	1	255	NZ_CP043876.1	3440275	3440529	
LEPT00852	1	1071	NZ_CP043876.1	3439090	3440160	
LEPT00853	53	873	NZ_CP043876.1	3438204	3439076	
LEPT00854	62	1251	NZ_CP043876.1	3436957	3438207	
LEPT00862	40	516	NZ_CP043876.1	3431241	3431756	
LEPT00866	75	1527	NZ_CP043876.1	3425757	3427283	
LEPT00869	69	1464	NZ_CP043876.1	3423086	3424549	
LEPT00884	58	1215	NZ_CP043876.1	3408917	3410131	
LEPT00885	75	1242	NZ_CP043876.1	3407355	3408596	
LEPT00886	68	1947	NZ_CP043876.1	3404960	3406906	
LEPT00887	15	321	NZ_CP043876.1	3404635	3404955	
LEPT00888	12	702	NZ_CP043876.1	3403937	3404638	
LEPT00889	47	1041	NZ_CP043876.1	3402883	3403923	
LEPT00890	60	1332	NZ_CP043876.1	3401555	3402886	
LEPT00892	66	1218	NZ_CP043876.1	3399843	3401060	
LEPT00895	28	378	NZ_CP043876.1	3398380	3398757	
LEPT00898	40	630	NZ_CP043876.1	3397357	3397986	
LEPT00899	1	465	NZ_CP043876.1	3396880	3397344	
LEPT00903	64	1632	NZ_CP043876.1	3393228	3394859	
LEPT00908	43	795	NZ_CP043876.1	3389541	3390335	
LEPT00909	1	447	NZ_CP043876.1	3388962	3389408	
LEPT00912	71	1998	NZ_CP043876.1	3385417	3387414	
LEPT00913	1	2031	NZ_CP043876.1	3383390	3385420	
LEPT00915	2	942	NZ_CP043876.1	3380223	3381164	
LEPT00918	50	801	NZ_CP043876.1	3376686	3377486	
LEPT00919	1	528	NZ_CP043876.1	3376159	3376686	
LEPT00920	1	1287	NZ_CP043876.1	3374239	3375525	
LEPT00927	15	1056	NZ_CP043876.1	3370314	3371369	
LEPT00930	51	1383	NZ_CP043876.1	3366947	3368329	
LEPT00932	53	939	NZ_CP043876.1	3365755	3366693	
LEPT00938	14	612	NZ_CP043876.1	3357819	3358430	
LEPT00940	46	1179	NZ_CP043876.1	3354894	3356072	
LEPT00941	2	438	NZ_CP043876.1	3354229	3354666	
LEPT00942	61	1383	NZ_CP043876.1	3352845	3354227	
LEPT00943	57	2589	NZ_CP043876.1	3350192	3352780	
LEPT00944	1	354	NZ_CP043876.1	3349829	3350182	
LEPT00945	74	930	NZ_CP043876.1	3348943	3349872	
LEPT00946	1	267	NZ_CP043876.1	3348625	3348891	
LEPT00947	73	2097	NZ_CP043876.1	3346517	3348613	
LEPT00948	72	1284	NZ_CP043876.1	3345212	3346495	
LEPT00954	77	1326	NZ_CP043876.1	3340182	3341507	
LEPT00956	97	4497	NZ_CP043876.1	3335264	3339760	
LEPT00957	69	1440	NZ_CP043876.1	3332840	3334279	
LEPT00958	69	1785	NZ_CP043876.1	3330440	3332224	
LEPT00965	84	3399	NZ_CP043876.1	3320143	3323541	
LEPT00966	80	3141	NZ_CP043876.1	3317013	3320153	
LEPT00970	52	762	NZ_CP043876.1	3313114	3313875	
LEPT00990	44	699	NZ_CP043876.1	3293606	3294304	
LEPT01008	55	606	NZ_CP043876.1	3266620	3267225	
LEPT01009	85	2748	NZ_CP043876.1	3263827	3266574	
LEPT01010	67	1560	NZ_CP043876.1	3262278	3263837	
LEPT01013	13	999	NZ_CP043876.1	3260141	3261139	
LEPT01019	63	792	NZ_CP043876.1	3254384	3255175	
LEPT01021	70	1449	NZ_CP043876.1	3252653	3254101	
LEPT01022	51	1164	NZ_CP043876.1	3251342	3252505	
LEPT01030	1	849	NZ_CP043876.1	3239465	3240313	
LEPT01032	45	828	NZ_CP043876.1	3238345	3239172	
LEPT01036	79	1380	NZ_CP043876.1	3234897	3236276	
LEPT01043	58	1119	NZ_CP043876.1	3231466	3232584	
LEPT01044	4	411	NZ_CP043876.1	3231000	3231410	
LEPT01045	88	2484	NZ_CP043876.1	3228415	3230898	
LEPT01046	65	1077	NZ_CP043876.1	3227332	3228408	
LEPT01047	4	1269	NZ_CP043876.1	3225988	3227256	
LEPT01048	57	717	NZ_CP043876.1	3225294	3226010	
LEPT01074	66	951	NZ_CP043876.1	3203617	3204567	
LEPT01080	88	2655	NZ_CP043876.1	3197562	3200216	
LEPT01081	1	1257	NZ_CP043876.1	3196166	3197422	
LEPT01082	1	579	NZ_CP043876.1	3195586	3196164	
LEPT01085	90	2025	NZ_CP043876.1	3193056	3195080	
LEPT01086	12	651	NZ_CP043876.1	3192403	3193053	
LEPT01087	85	2307	NZ_CP043876.1	3190193	3192499	
LEPT01096	48	1197	NZ_CP043876.1	3184542	3185738	
LEPT01097	56	849	NZ_CP043876.1	3183641	3184489	
LEPT01098	2	243	NZ_CP043876.1	3183386	3183628	
LEPT01099	15	1434	NZ_CP043876.1	3181914	3183347	
LEPT01100	68	1578	NZ_CP043876.1	3180315	3181892	
LEPT01101	54	876	NZ_CP043876.1	3179153	3180028	
LEPT01102	59	1173	NZ_CP043876.1	3177968	3179140	
LEPT01103	59	645	NZ_CP043876.1	3175837	3176481	
LEPT01105	78	1350	NZ_CP043876.1	3173790	3175139	
LEPT01106	71	1896	NZ_CP043876.1	3171898	3173793	
LEPT01107	47	828	NZ_CP043876.1	3171030	3171857	
LEPT01110	17	1278	NZ_CP043876.1	3168100	3169377	
LEPT01111	1	1035	NZ_CP043876.1	3167028	3168062	
LEPT01112	83	2010	NZ_CP043876.1	3164712	3166721	
LEPT01123	1	771	NZ_CP043876.1	3155499	3156269	
LEPT01125	58	1035	NZ_CP043876.1	3152729	3153763	
LEPT01126	72	1020	NZ_CP043876.1	3151623	3152642	
LEPT01131	40	666	NZ_CP043876.1	3146010	3146675	
LEPT01132	19	243	NZ_CP043876.1	3145589	3145831	
LEPT01135	73	1170	NZ_CP043876.1	3142616	3143785	
LEPT01136	2	711	NZ_CP043876.1	3141384	3142094	
LEPT01137	63	1116	NZ_CP043876.1	3140247	3141362	
LEPT01138	72	1314	NZ_CP043876.1	3138925	3140238	
LEPT01139	1	747	NZ_CP043876.1	3138182	3138928	
LEPT01140	63	1011	NZ_CP043876.1	3137197	3138207	
LEPT01142	77	1929	NZ_CP043876.1	3134133	3136061	
LEPT01143	69	939	NZ_CP043876.1	3133190	3134128	
LEPT01145	1	603	NZ_CP043876.1	3131203	3131805	
LEPT01147	1	1206	NZ_CP043876.1	3128353	3129558	
LEPT01155	1	1008	NZ_CP043876.1	3123216	3124223	
LEPT01158	60	1071	NZ_CP043876.1	3120444	3121514	
LEPT01173	76	1983	NZ_CP043876.1	3102831	3104813	
LEPT01175	76	1782	NZ_CP043876.1	3099343	3101124	
LEPT01176	64	621	NZ_CP043876.1	3098754	3099374	
LEPT01179	14	1272	NZ_CP043876.1	3096080	3097351	
LEPT01185	79	1710	NZ_CP043876.1	3089917	3091626	
LEPT01186	1	390	NZ_CP043876.1	3089407	3089796	
